동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
11,187,기타가족,가족_언니_엄마,미식,술_커피_맛집,김포대명항
3,87,부모님,아빠_엄빠_할머니,자연경관,바다_바닷가_공원,김포대명항
2,18,친구,친구,레포츠/운동,등산_글램핑_트래킹,김포대명항
2,2,연인,커플,문화예술,수족관,김포대명항
1,2,배우자,신랑,역사유적,유적지,김포대명항
0,2,,,휴식/힐링,나들이,김포대명항
