연령대,남성방문 비율,여성방문 비율
70세 이상,1.8,1.2
60~69세,12.5,3.3
50~59세,20.6,5.2
40~49세,13.9,3.9
30~39세,16.4,3.4
20~29세,12.7,2.9
10~19세,1.0,0.7
