동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
458,8001,기타가족,가족_동서_고모,미식,식당_차_매점,지리산국립공원(함양)
308,5724,부모님,아빠_아버지_할머니,자연경관,계곡_바다_산,지리산국립공원(함양)
213,4077,자녀,아들_딸,레포츠/운동,산행_등산_캠핑,지리산국립공원(함양)
37,2096,배우자,남편_아내_와이프,휴식/힐링,힐링_불멍_물멍,지리산국립공원(함양)
31,551,회사동료,동료_직원_부장,역사유적,사찰_암자_다리,지리산국립공원(함양)
28,67,친구,친구_룸메_지인,문화예술,책방_박물관_도서관,지리산국립공원(함양)
12,35,연인,여자친구_커플_연인,체험,템플스테이_수학여행,지리산국립공원(함양)
9,2,싱글,혼자,반려동물,동물,지리산국립공원(함양)
5,0,학생,초등학생_고등학생_중학생,,,지리산국립공원(함양)
