유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
서울특별시 송파구 , 서울특별시 강동구,29.0,1
경기도 하남시 , 서울특별시 강동구,18.2,1
서울특별시 강남구 , 서울특별시 강동구,7.0,1
서울특별시 광진구 , 서울특별시 강동구,6.1,1
경기도 남양주시 , 서울특별시 강동구,5.0,1
경기도 구리시 , 서울특별시 강동구,3.0,1
서울특별시 성동구 , 서울특별시 강동구,2.2,1
서울특별시 서초구 , 서울특별시 강동구,2.1,1
서울특별시 중랑구 , 서울특별시 강동구,1.9,1
경기도 광주시 , 서울특별시 강동구,1.6,1
경기도 성남시 분당구 , 서울특별시 강동구,1.5,1
경기도 성남시 수정구 , 서울특별시 강동구,1.4,1
서울특별시 동대문구 , 서울특별시 강동구,1.4,1
서울특별시 노원구 , 서울특별시 강동구,1.0,1
서울특별시 용산구 , 서울특별시 강동구,0.9,1
서울특별시 중구 , 서울특별시 강동구,0.7,1
서울특별시 영등포구 , 서울특별시 강동구,0.7,1
경기도 의정부시 , 서울특별시 강동구,0.7,1
서울특별시 성북구 , 서울특별시 강동구,0.6,1
경기도 성남시 중원구 , 서울특별시 강동구,0.6,1
 서울특별시 강동구,경기도 하남시,27.8,2
 서울특별시 강동구,서울특별시 송파구,14.7,2
 서울특별시 강동구,경기도 남양주시,9.7,2
 서울특별시 강동구,서울특별시 강남구,7.1,2
 서울특별시 강동구,서울특별시 광진구,3.7,2
 서울특별시 강동구,경기도 구리시,2.3,2
 서울특별시 강동구,경기도 광주시,2.0,2
 서울특별시 강동구,서울특별시 서초구,1.8,2
 서울특별시 강동구,서울특별시 중구,1.8,2
 서울특별시 강동구,경기도 양평군,1.7,2
 서울특별시 강동구,서울특별시 성동구,1.4,2
 서울특별시 강동구,경기도 성남시 분당구,1.3,2
 서울특별시 강동구,서울특별시 용산구,1.2,2
 서울특별시 강동구,경기도 가평군,1.0,2
 서울특별시 강동구,강원도 춘천시,0.9,2
 서울특별시 강동구,서울특별시 동대문구,0.9,2
 서울특별시 강동구,서울특별시 종로구,0.8,2
 서울특별시 강동구,경기도 여주시,0.8,2
 서울특별시 강동구,서울특별시 영등포구,0.8,2
 서울특별시 강동구,경기도 이천시,0.8,2
