순위,관광지명,주소,분류,합산 검색 수
79,성남큐브미술관,경기 성남시 분당구 성남대로 808-0,전시시설,1431
80,성남아트센터앙상블시어터,경기 성남시 분당구 성남대로 808-0,공연시설,1426
81,스타디온판교 크로스핏,경기 성남시 분당구 동판교로177번길 25-0,기타레저스포츠,1357
82,호텔뷰,경기 성남시 분당구 분당로53번길 13-0,모텔,1335
83,신해철거리,경기 성남시 분당구 발이봉로3번길 2-0,테마공원,1327
84,경륜경정분당지점,경기 성남시 분당구 성남대로925번길 11-0,육상레저스포츠,1325
85,판교축구클럽,경기 성남시 분당구 두밀로 12-0,기타레저스포츠,1324
86,현대어린이책미술관,경기 성남시 분당구 판교역로146번길 20-0,전시시설,1320
87,영운정사,경기 성남시 분당구 판교로156번길 10-0,종교성지,1269
88,하얀마음선원,경기 성남시 분당구 방아로46번길 26-0,종교성지,1263
89,서현역로데오거리,경기 성남시 분당구,테마공원,1242
90,맹산환경생태학습원,경기 성남시 분당구 판교로 628-0,테마공원,1162
91,호텔루비,경기 성남시 분당구 성남대로 30-0,호텔,1142
92,화랑공원생태호수,경기 성남시 분당구 대왕판교로645번길 21-0,자연경관(하천/해양),1139
93,토탈테니스제이,경기 성남시 분당구 대왕판교로34번길 23-0,기타레저스포츠,1099
94,레니엘호텔,경기 성남시 분당구 황새울로360번길 26-0,모텔,1066
95,다이소분당야탑점,경기 성남시 분당구 성남대로916번길 5-0,기타쇼핑시설,1054
96,락트리분당,경기 성남시 분당구 황새울로 224-0,기타레저스포츠,1013
97,한스짐클럽,경기 성남시 분당구 불곡남로14번길 8-0,기타레저스포츠,1005
98,원적정사,경기 성남시 분당구,종교성지,960
99,분당최가철물,경기 성남시 분당구 황새울로342번길 11-0,기타쇼핑시설,956
100,한국잡월드 나래울극장,경기 성남시 분당구 분당수서로 501-0,공연시설,939
