연령대,남성방문 비율,여성방문 비율
70세 이상,3.8,3.6
60~69세,12.7,8.9
50~59세,14.5,11.1
40~49세,10.4,7.3
30~39세,8.5,4.9
20~29세,6.6,3.2
10~19세,1.9,1.5
