연령대,남성방문 비율,여성방문 비율
70세 이상,6.4,3.0
60~69세,15.5,10.1
50~59세,12.4,10.1
40~49세,11.1,6.9
30~39세,9.0,4.2
20~29세,4.9,2.9
10~19세,1.9,1.2
