연령대,남성방문 비율,여성방문 비율
70세 이상,2.4,8.0
60~69세,13.6,6.6
50~59세,17.0,14.4
40~49세,12.8,4.3
30~39세,9.8,4.4
20~29세,3.9,1.3
10~19세,0.2,0.7
