연령대,남성방문 비율,여성방문 비율
70세 이상,1.7,1.9
60~69세,4.9,5.5
50~59세,7.0,8.4
40~49세,7.6,7.3
30~39세,9.5,9.5
20~29세,12.5,18.1
10~19세,2.4,2.8
