연령대,남성방문 비율,여성방문 비율
70세 이상,5.1,5.6
60~69세,8.7,9.8
50~59세,8.7,11.0
40~49세,7.5,8.0
30~39세,5.8,5.7
20~29세,7.2,5.8
10~19세,4.6,4.8
