연령대,남성방문 비율,여성방문 비율
70세 이상,4.1,2.7
60~69세,7.4,5.5
50~59세,7.8,8.6
40~49세,6.9,6.0
30~39세,7.6,5.5
20~29세,11.8,10.6
10~19세,6.8,7.4
