연령대,남성방문 비율,여성방문 비율
70세 이상,4.6,5.1
60~69세,8.0,6.7
50~59세,10.3,10.9
40~49세,7.0,7.4
30~39세,7.3,6.9
20~29세,6.0,8.6
10~19세,3.7,5.4
