동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
3,19,친구,친구,자연경관,산_바다_정원,와룡자연휴양림
0,7,,,미식,카페_맛집_식당,와룡자연휴양림
