연령대,남성방문 비율,여성방문 비율
70세 이상,3.0,3.5
60~69세,6.3,6.8
50~59세,8.3,9.5
40~49세,10.1,9.3
30~39세,9.6,9.7
20~29세,6.8,7.6
10~19세,3.8,3.6
