동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
33,294,연인,애인_커플,미식,양주_홍삼_식당
31,32,기타가족,오빠_동서_장모,문화예술,공장_광장_노래방
16,22,자녀,자녀_아들_학생,자연경관,계곡_공원_광산
14,17,회사동료,대리_사원_임원,레포츠/운동,캠핑_산행_운동장
7,12,싱글,싱글,반려동물,애견_길고양이
6,10,학생,대학생_초등학생,휴식/힐링,나들이_신혼여행_생태관광
5,5,배우자,남편,역사유적,사찰_다리_암자
2,0,부모님,모녀,,
1,0,친구,지인,,
