기준연월,지역명,검색량(건)
202108,부산광역시 중구 ,2991
202109,부산광역시 중구 ,3001
202110,부산광역시 중구 ,3432
202111,부산광역시 중구 ,4711
202112,부산광역시 중구 ,1702
202201,부산광역시 중구 ,1897
202202,부산광역시 중구 ,2540
202203,부산광역시 중구 ,372
202204,부산광역시 중구 ,376
202205,부산광역시 중구 ,442
202206,부산광역시 중구 ,691
202207,부산광역시 중구 ,730
