순위,관광지명,주소,분류,합산 검색 수
1,엠스클럽의성CC,경북 의성군 농공마전길 125-78,육상레저스포츠,23665
2,파라지오CC,경북 의성군 농공마전길 167-0,육상레저스포츠,22400
3,고운사,경북 의성군 고운사길 415-0,종교성지,9394
4,의성조문국박물관,경북 의성군 초전1길 83-0,전시시설,8782
5,의성전통시장,경북 의성군 전통시장2길 7-4,시장,5453
6,빙계계곡,경북 의성군,자연경관(산),5371
7,빙계얼음골아영장,경북 의성군 빙계계곡길 51-0,캠핑,3180
8,의성산수유마을꽃맞이행사,경북 의성군 산수유2길 2-0,기타문화관광지,3010
9,빙계계곡오토캠핑장,경북 의성군,캠핑,2412
10,산운생태공원,경북 의성군 수정사길 19-0,도시공원,2214
11,의성점곡계곡,경북 의성군,자연경관(산),2196
12,금봉자연휴양림,경북 의성군 휴양림길 114-0,자연공원,2099
13,효천지,경북 의성군,자연경관(하천/해양),2079
14,탑산약수온천,경북 의성군 도리원2길 88-42,웰니스관광,1949
15,경덕왕릉,경북 의성군 동부로 2545-0,역사유적지,1714
16,달빛공원,경북 의성군,도시공원,1401
17,투데이모텔,경북 의성군 동서2길 36-0,모텔,1253
18,개천지,경북 의성군,자연경관(하천/해양),1219
19,가음저수지,경북 의성군,자연경관(하천/해양),1135
20,안계전통시장,경북 의성군 안계시장길 14-15,시장,1061
21,의성금성면고분군,경북 의성군,역사유적지,874
22,위천생태하천,경북 의성군,기타관광,836
23,금봉저수지,경북 의성군,자연경관(하천/해양),730
24,수정사,경북 의성군 수정사길 420-0,종교성지,698
25,의성사촌마을,경북 의성군,역사유적지,689
26,만경촌먹거리체험관,경북 의성군 구단길 182-10,기타레저스포츠,648
27,고운마을캠핑장,경북 의성군 고운사길 203-21,캠핑,587
28,의성마늘장터,경북 의성군 구봉길 215-0,시장,581
29,효천지캠핑장,경북 의성군,캠핑,562
30,만장사,경북 의성군 모산길 109-0,종교성지,549
31,의성탑리리오층석탑,경북 의성군 오층석탑길 5-3,역사유물,532
32,그리스모텔,경북 의성군 안계시장길 58-5,모텔,522
33,빙계얼음골야영장,경북 의성군 빙계계곡길 51-0,캠핑,520
34,경덕왕릉의성조문국사적지,경북 의성군,역사유적지,517
35,대곡사,경북 의성군 대곡사길 80-0,종교성지,512
36,구봉공원,경북 의성군,도시공원,434
37,의성사촌리가로숲,경북 의성군,역사유적지,398
38,금성산,경북 의성군,자연경관(산),356
39,왜가리생태관,경북 의성군 왜가리길 1185-0,농/산/어촌체험,346
40,얼음골,경북 의성군,기타관광,344
41,운람사,경북 의성군 신안2길 223-0,종교성지,331
42,조성지,경북 의성군,자연경관(하천/해양),322
42,주월사,경북 의성군 양지실업길 115-0,종교성지,322
44,제오리공룡발자국화석,경북 의성군,역사유적지,308
45,의성염매시장,경북 의성군 염매시장길 17-1,시장,299
46,씨에프모텔,경북 의성군 북원2길 6-0,모텔,294
47,빙계서원,경북 의성군 빙계계곡길 80-0,역사유적지,272
48,낙단보수변공원,경북 의성군,도시공원,269
49,순호지,경북 의성군,자연경관(하천/해양),259
50,최치원문학관,경북 의성군 고운사길 241-0,전시시설,241
51,의성소우당,경북 의성군 산운마을길 55-0,역사유적지,235
52,의성조문국박물관고분전시관,경북 의성군 동부로 2545-0,전시시설,220
53,의성펫월드오토캠핑장,경북 의성군 안계길 255-13,캠핑,218
54,올인모텔,경북 의성군 북부길 5-4,모텔,213
54,힐링포인트21,경북 의성군 도토길 34-0,펜션/민박,213
56,명품모텔,경북 의성군 문소3길 83-1,모텔,210
57,사곡저수지,경북 의성군,자연경관(하천/해양),206
58,의성금성시장,경북 의성군 탑리1길 39-0,시장,202
59,상신지,경북 의성군,자연경관(하천/해양),200
60,벽수지,경북 의성군,자연경관(하천/해양),196
61,석불사,경북 의성군,종교성지,175
62,금수장,경북 의성군 소보안계로 1912-0,기타숙박,172
63,벤츠모텔,경북 의성군 도안로 828-42,모텔,168
63,대곡사대웅전,경북 의성군 대곡사길 80-0,역사유적지,168
65,E모텔,경북 의성군 문소3길 78-0,모텔,167
66,리치모텔,경북 의성군 봉기길 57-0,모텔,164
67,율정호운영센터,경북 의성군,수상레저스포츠,161
68,원석지,경북 의성군,자연경관(하천/해양),160
69,필모텔,경북 의성군 용기4길 7-19,모텔,159
70,의성청년테마파크,경북 의성군 경북대로 5690-0,기타문화관광지,157
71,다이소의성점,경북 의성군 군청길 9-0,기타쇼핑시설,140
72,의성만취당,경북 의성군 만취당길 17-0,역사유적지,136
73,토현지,경북 의성군,자연경관(하천/해양),131
74,민산정,경북 의성군 점곡길 29-3,역사유적지,126
75,홍연지,경북 의성군,자연경관(하천/해양),120
76,옥련사,경북 의성군 옥련사길 130-0,종교성지,119
77,의성작약꽃밭,경북 의성군,기타관광,116
78,의성향교,경북 의성군 향교길 57-0,역사유적지,114
79,테마모텔,경북 의성군 북부길 5-2,모텔,113
80,안계승마체험장,경북 의성군 안신로 20-1,기타레저스포츠,102
81,기지,경북 의성군,자연경관(하천/해양),101
82,정수사,경북 의성군,종교성지,95
83,그랜드장여관,경북 의성군 안계길 181-0,모텔,93
84,의성봉양시장,경북 의성군,시장,91
85,모소지,경북 의성군,자연경관(하천/해양),90
85,밀성권역도농교류센터,경북 의성군 서부로 3549-7,기타관광,90
87,청원모텔,경북 의성군 도리원1길 37-0,모텔,88
88,의성게이트볼장,경북 의성군 충효로 116-0,기타레저스포츠,83
89,용암지,경북 의성군,자연경관(하천/해양),81
90,용남사,경북 의성군 외남길 0-0,종교성지,79
90,점곡저수지,경북 의성군,자연경관(하천/해양),79
92,수동저수지,경북 의성군,자연경관(하천/해양),78
93,의성명품고추마늘직거래장터,경북 의성군 장터길 31-6,시장,76
93,의성슈퍼푸드마늘축제,경북 의성군 군청길 31-0,기타문화관광지,76
95,의성산운마을,경북 의성군,역사유적지,73
95,장제지,경북 의성군,자연경관(하천/해양),73
97,초해고택,경북 의성군 만취당길 17-12,기타숙박,72
98,월룡사,경북 의성군 동산2길 34-0,종교성지,70
99,석화장여관,경북 의성군 탑리길 69-0,모텔,67
99,구룡지저수지,경북 의성군,자연경관(하천/해양),67
