기준연월,지역명,검색량(건)
202108,경기도 포천시 ,3896
202109,경기도 포천시 ,3849
202110,경기도 포천시 ,3948
202111,경기도 포천시 ,3501
202112,경기도 포천시 ,819
202201,경기도 포천시 ,971
202202,경기도 포천시 ,720
202203,경기도 포천시 ,757
202204,경기도 포천시 ,1123
202205,경기도 포천시 ,932
202206,경기도 포천시 ,1037
202207,경기도 포천시 ,923
