동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
2,24,기타가족,엄마_가족,자연경관,계곡_산_폭포,대가천계곡(무흘구곡)
1,4,부모님,부모님,미식,물고기_보말칼국수,대가천계곡(무흘구곡)
0,3,,,레포츠/운동,캠핑_유원지,대가천계곡(무흘구곡)
