기준연월,지역명,검색량(건)
202108,경기도 여주시 ,1968
202109,경기도 여주시 ,1415
202110,경기도 여주시 ,1965
202111,경기도 여주시 ,2305
202112,경기도 여주시 ,1225
202201,경기도 여주시 ,1119
202202,경기도 여주시 ,693
202203,경기도 여주시 ,1275
202204,경기도 여주시 ,563
202205,경기도 여주시 ,904
202206,경기도 여주시 ,992
202207,경기도 여주시 ,859
