연령대,남성방문 비율,여성방문 비율
70세 이상,4.5,4.7
60~69세,9.0,8.4
50~59세,11.7,9.2
40~49세,9.3,6.8
30~39세,7.1,5.0
20~29세,8.1,8.5
10~19세,3.3,3.9
