동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
1899,22029,기타가족,엄마_오빠_가족,미식,맛집_맥주_바나나
1714,8234,자녀,아들_학생_딸,자연경관,계곡_바다_정원
1042,3194,회사동료,대리_사원_직원,레포츠/운동,낚시_캠핑_당구장
1027,2544,연인,애인_커플_여자친구,문화예술,노래방_촬영지_공장
925,652,학생,고딩_중딩_대학생,역사유적,다리_한옥_정자
493,603,부모님,아부지_아버지_아빠,휴식/힐링,나들이_힐링_피크닉
137,207,싱글,독신_싱글,반려동물,유기견_반려견_펫
122,18,친구,친구_지인_동창,체험,수학여행_시티투어_템플스테이
89,0,배우자,아내_부인_신랑,,
