연령대,남성방문 비율,여성방문 비율
70세 이상,4.9,4.6
60~69세,5.8,8.4
50~59세,12.2,12.9
40~49세,9.8,7.7
30~39세,6.9,6.5
20~29세,6.6,6.5
10~19세,3.0,2.6
