순위,관광지명,주소,분류,합산 검색 수
1,오이도빨강등대,경기 시흥시 오이도로 170-0,랜드마크관광,370160
2,물왕호수,경기 시흥시,자연경관(하천/해양),137324
3,삼미시장,경기 시흥시 삼미시장2길 29-0,시장,112852
4,시흥갯골생태공원,경기 시흥시 동서로 287-0,도시공원,108242
5,솔트베이GC,경기 시흥시 마유로 987-0,육상레저스포츠,76687
6,배곧한울공원,경기 시흥시 해송십리로 61-0,도시공원,64938
7,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑몰,58243
8,웨이브파크,경기 시흥시 거북섬둘레길 42-0,수상레저스포츠,44161
9,정왕시장,경기 시흥시 정왕시장길 51-0,시장,41426
10,옥구공원,경기 시흥시 서해안로 277-0,도시공원,38555
11,아세코밸리골프클럽,경기 시흥시 마전로 307-0,육상레저스포츠,32483
12,배곧생명공원,경기 시흥시 배곧2로 25-0,도시공원,32075
13,베니스스퀘어,경기 시흥시 서울대학로278번길 61-0,쇼핑몰,28950
14,CGV배곧,경기 시흥시 서울대학로278번길 61-0,공연시설,27514
15,메가박스시흥배곧,경기 시흥시 배곧3로 96-0,공연시설,26639
16,베니키아호텔시흥,경기 시흥시 평안상가4길 21-0,호텔,25958
17,시화방조제중간선착장,경기 시흥시,교통시설,25707
18,시흥ABC행복학습타운,경기 시흥시 소래산길 11-0,기타문화관광지,25516
19,연꽃테마파크,경기 시흥시 관곡지로 139-0,테마공원,21675
20,용도수목원,경기 시흥시 밭뒤길 32-0,자연공원,20058
21,오이도항선착장,경기 시흥시 오이도로 156-0,교통시설,16676
22,월곶포구,경기 시흥시 월곶해안로 205-0,자연경관(하천/해양),16628
23,관곡지,경기 시흥시,자연경관(하천/해양),16501
24,오이도종합어시장,경기 시흥시 오이도어시장로 7-0,시장,15742
25,과림저수지,경기 시흥시 금오로 383-0,자연경관(하천/해양),14708
26,거북섬,경기 시흥시 엠티브이북로 31-0,자연경관(하천/해양),13077
27,시흥오이도박물관,경기 시흥시 오이도로 332-0,전시시설,11638
28,뒷방울낚시터,경기 시흥시 뒷방울길 189-0,수상레저스포츠,11493
29,CGV시흥,경기 시흥시 복지로 90-0,공연시설,11452
30,도일시장,경기 시흥시 도일로102번길 5-13,시장,11199
31,시흥센트럴돔그랑트리캐슬,경기 시흥시 은계호수로 49-0,쇼핑몰,11140
32,달월낚시터,경기 시흥시 군자로 125-39,수상레저스포츠,9965
33,오이도포구해양관광단지,경기 시흥시,복합관광시설,8553
34,물왕숲캠핑파크,경기 시흥시 동서로 706-90,캠핑,7768
