순위,관광지명,주소,분류,
74,다이소/대구본리점,대구 달서구 와룡로 130-0,쇼핑,대구광역시 달서구
75,다이소/대구신당점,대구 달서구 계대동문로 23-1,쇼핑,대구광역시 달서구
76,대성문구,대구 달서구 달구벌대로305길 24-0,쇼핑,대구광역시 달서구
77,대경볼링장,대구 달서구 월배로23길 101-0,레포츠(육상/해상/항공),대구광역시 달서구
78,캠핑다이스,대구 달서구 상화북로 210-0,쇼핑,대구광역시 달서구
79,대덕승마장,대구 달서구 앞산순환로 206-0,레포츠(육상/해상/항공),대구광역시 달서구
80,우리식자재도매센터/달서점,대구 달서구 대명천로 193-0,쇼핑,대구광역시 달서구
81,LG전자베스트샵/서대구본점,대구 달서구 달구벌대로 1646-0,쇼핑,대구광역시 달서구
82,일룸/달서점,대구 달서구 조암로 200-0,쇼핑,대구광역시 달서구
83,계명아트센터,대구 달서구 달구벌대로 1095-0,공연/행사,대구광역시 달서구
84,디디바바,대구 달서구 진천로16길 85-0,쇼핑,대구광역시 달서구
85,삼성디지털프라자/서대구본점,대구 달서구 달구벌대로 1652-0,쇼핑,대구광역시 달서구
86,롯데시네마/성서,대구 달서구 성서로 414-0,문화관광,대구광역시 달서구
87,삼우볼링프라자,대구 달서구 상화로 303-0,레포츠(육상/해상/항공),대구광역시 달서구
88,토이마트,대구 달서구 용산로 22-0,쇼핑,대구광역시 달서구
89,유니버시아드테니스장,대구 달서구 두류공원로 161-0,레포츠(육상/해상/항공),대구광역시 달서구
90,골프존파크/진천사라스크린점,대구 달서구 상화로7길 38-0,레포츠(육상/해상/항공),대구광역시 달서구
91,달서구립도원도서관,대구 달서구 한실로 113-0,문화시설,대구광역시 달서구
92,다이소/대구상인네거리점,대구 달서구 월배로 219-0,쇼핑,대구광역시 달서구
93,학산공원,대구 달서구,자연관광지,대구광역시 달서구
94,비지니스골프클럽,대구 달서구 새방로7길 12-0,레포츠(육상/해상/항공),대구광역시 달서구
95,성서체육공원,대구 달서구 성서공단로22길 25-0,자연관광지,대구광역시 달서구
96,토이앤맘/대구점,대구 달서구 이곡서로 46-0,쇼핑,대구광역시 달서구
97,두류정수장후적지,대구 달서구 당산로 176-0,자연관광지,대구광역시 달서구
98,달서가족문화도서관,대구 달서구 조암남로 137-0,문화시설,대구광역시 달서구
99,베이비파크,대구 달서구 월배로 26-0,쇼핑,대구광역시 달서구
100,아이엘캠핑,대구 달서구 조암로 14-0,쇼핑,대구광역시 달서구
