순위,관광지명,주소,분류,
1,현대백화점/부산점,부산 동구 범일로 125-0,쇼핑,부산광역시 동구
2,부산진시장,부산 동구,쇼핑,부산광역시 동구
3,부산자유도매시장,부산 동구 조방로 48-0,쇼핑,부산광역시 동구
4,부산항/제5부두,부산 동구 충장대로 314-0,자연관광지,부산광역시 동구
5,탑마트/초량점,부산 동구 초량로13번길 53-0,쇼핑,부산광역시 동구
6,부산항국제여객터미널,부산 동구 충장대로 206-0,자연관광지,부산광역시 동구
7,차이나타운,부산 동구,휴양관광지,부산광역시 동구
8,홈플러스익스프레스/좌천점,부산 동구 고관로 143-0,쇼핑,부산광역시 동구
9,유니클로/부산범일점,부산 동구 자성로 128-0,쇼핑,부산광역시 동구
10,부산과학체험관,부산 동구 중앙대로260번길 11-0,문화시설,부산광역시 동구
11,LG전자서비스센터/부산역점,부산 동구 중앙대로 182-0,쇼핑,부산광역시 동구
12,부산광역시동구도서관,부산 동구 성북로36번길 54-0,문화시설,부산광역시 동구
13,부산항/제5부두,부산 동구 충장대로 314-0,자연관광,부산광역시 동구
14,부산항국제전시컨벤션센터,부산 동구 충장대로 206-0,문화시설,부산광역시 동구
15,부산항/제4부두,부산 동구 충장대로 206-0,자연관광지,부산광역시 동구
16,차이나타운,부산 동구,문화관광,부산광역시 동구
17,다이소/부산초량점,부산 동구 초량상로 91-0,쇼핑,부산광역시 동구
18,동구어린이영어도서관,부산 동구 수성로 21-0,문화시설,부산광역시 동구
19,초량시장,부산 동구 초량로13번길 8-0,쇼핑,부산광역시 동구
20,제로투세븐/부산상설직영점,부산 동구 중앙대로 522-0,쇼핑,부산광역시 동구
21,좌천동가구거리,부산 동구,쇼핑,부산광역시 동구
22,부산항국제여객터미널,부산 동구 충장대로 206-0,기타관광,부산광역시 동구
23,한샘/인테리어부산좌천점,부산 동구 중앙대로 494-0,쇼핑,부산광역시 동구
24,이바구길모노레일,부산 동구,기타관광지,부산광역시 동구
25,동구국민체육문예센터,부산 동구 구청로 8-0,레포츠(육상/해상/항공),부산광역시 동구
26,부산차이나타운특구문화축제,부산 동구 대영로243번길 61-0,기타관광지,부산광역시 동구
27,한성기린프라자,부산 동구 중앙대로 514-0,쇼핑,부산광역시 동구
28,북항친수공원,부산 동구,문화관광,부산광역시 동구
29,북두칠성도서관,부산 동구 충장대로 160-0,문화시설,부산광역시 동구
30,부산진남문시장,부산 동구 범일로65번길 8-0,쇼핑,부산광역시 동구
31,자성대공원,부산 동구 자성로 99-0,자연관광지,부산광역시 동구
32,부산광역시립중앙도서관/수정분관,부산 동구 홍곡로 53-0,문화시설,부산광역시 동구
33,웰리빙스크린골프,부산 동구 중앙대로 270-0,레포츠(육상/해상/항공),부산광역시 동구
34,정란각,부산 동구 홍곡로 75-0,역사관광지,부산광역시 동구
35,자유꽃시장,부산 동구 조방로 48-0,쇼핑,부산광역시 동구
36,초량이바구길,부산 동구 초량상로 0-0,기타관광지,부산광역시 동구
37,부산항/제4부두,부산 동구 충장대로 206-0,자연관광,부산광역시 동구
38,삼진어묵/부산역광장점,부산 동구 중앙대로214번길 7-0,쇼핑,부산광역시 동구
39,수정산가족체육공원,부산 동구,자연관광지,부산광역시 동구
40,파크랜드/범일점,부산 동구 조방로 22-0,쇼핑,부산광역시 동구
41,부산항국제전시컨벤션센터,부산 동구 충장대로 206-0,문화관광,부산광역시 동구
42,렛츠런CCC/부산동구지점,부산 동구 자성로 134-0,레포츠(육상/해상/항공),부산광역시 동구
43,클래스윔스포츠센터/초량지점,부산 동구 중앙대로 319-0,기타관광지,부산광역시 동구
44,리바트스타일샵/좌천점,부산 동구 중앙대로 470-0,쇼핑,부산광역시 동구
45,신씨비단,부산 동구 진시장로 14-0,쇼핑,부산광역시 동구
46,다이소/부산수정점,부산 동구 진성로 22-0,쇼핑,부산광역시 동구
47,시몬스/직영갤러리 부산좌천점,부산 동구 중앙대로 456-0,쇼핑,부산광역시 동구
48,농축산마트/범일점,부산 동구 조방로16번길 7-0,쇼핑,부산광역시 동구
49,북항친수공원,부산 동구,자연관광지,부산광역시 동구
50,딘텍,부산 동구 중앙대로 309-0,쇼핑,부산광역시 동구
51,일룸/좌천점,부산 동구 중앙대로 451-1,쇼핑,부산광역시 동구
52,부산과학체험관,부산 동구 중앙대로260번길 11-0,문화관광,부산광역시 동구
53,이바구길모노레일,부산 동구,기타관광,부산광역시 동구
54,수정시장,부산 동구 중앙대로361번길 37-0,쇼핑,부산광역시 동구
55,LG전자베스트샵/부산역점,부산 동구 중앙대로 182-0,쇼핑,부산광역시 동구
56,금수사,부산 동구 망양로 533-1,역사관광지,부산광역시 동구
57,불교전시관,부산 동구 범일로 54-0,쇼핑,부산광역시 동구
58,동행복권판매점/복권방,부산 동구 조방로49번길 18-1,쇼핑,부산광역시 동구
59,유치환우체통,부산 동구 망양로580번길 2-0,기타관광지,부산광역시 동구
60,부산패션비즈센터,부산 동구,쇼핑,부산광역시 동구
61,결혼합시다,부산 동구 진시장로 19-5,쇼핑,부산광역시 동구
62,나눔로또판매점/복권방,부산 동구 조방로49번길 18-1,쇼핑,부산광역시 동구
63,초량이바구길,부산 동구 초량상로 0-0,기타관광,부산광역시 동구
64,에이스스크린골프,부산 동구 자성로133번길 10-0,레포츠(육상/해상/항공),부산광역시 동구
65,조선통신사역사관,부산 동구 자성로 99-0,문화시설,부산광역시 동구
66,맨투맨테니스/범일점,부산 동구 조방로 21-0,레포츠(육상/해상/항공),부산광역시 동구
67,부산차이나타운특구문화축제,부산 동구 대영로243번길 61-0,문화관광,부산광역시 동구
68,부산항/제3부두,부산 동구 충장대로 164-0,자연관광지,부산광역시 동구
69,자성대공원,부산 동구 자성로 99-0,문화관광,부산광역시 동구
70,금수사,부산 동구 망양로 533-1,역사관광,부산광역시 동구
